method,date,proportion_of_files_available,species,ten_minute,sixty_minute
weir,9/2/2017,1,Chinook,0,2
weir,9/3/2017,1,Chinook,0,0
weir,9/4/2017,1,Chinook,0,0
weir,9/5/2017,1,Chinook,0,0
weir,9/6/2017,1,Chinook,0,0
weir,8/10/2017,0.83,pink,564,993
weir,8/11/2017,0.92,pink,436,557
weir,8/12/2017,1,pink,329,477
weir,8/13/2017,0.81,pink,546,764
weir,8/14/2017,1,pink,696,835
weir,8/15/2017,1,pink,800,1147
weir,8/16/2017,1,pink,2072,2289
weir,8/17/2017,1,pink,3364,4945
weir,8/18/2017,0.9,pink,4131,4693
weir,8/19/2017,1,pink,4817,4725
weir,8/20/2017,1,pink,3707,6733
weir,8/21/2017,1,pink,9552,8675
weir,8/22/2017,1,pink,5887,6175
weir,8/23/2017,1,pink,1953,2478
weir,8/24/2017,1,pink,3362,4053
weir,8/25/2017,1,pink,4328,4891
weir,8/26/2017,1,pink,3514,4263
weir,8/27/2017,1,pink,1507,1739
weir,8/28/2017,1,pink,1499,1846
weir,8/29/2017,1,pink,4525,6308
weir,8/30/2017,1,pink,9693,9948
weir,8/31/2017,0.83,pink,6050,6310
weir,9/1/2017,0.66,pink,3166,3914
weir,9/2/2017,1,pink,9477,6919
weir,9/3/2017,1,pink,14888,14656
weir,9/4/2017,1,pink,2549,2987
weir,9/5/2017,1,pink,1582,1680
weir,9/6/2017,1,pink,2210,1961
weir,8/10/2017,0.83,coho,0,2
weir,8/11/2017,0.92,coho,6,2
weir,8/12/2017,1,coho,0,6
weir,8/13/2017,0.81,coho,18,18
weir,8/14/2017,1,coho,0,7
weir,8/15/2017,1,coho,6,8
weir,8/16/2017,1,coho,6,14
weir,8/17/2017,1,coho,12,19
weir,8/18/2017,0.9,coho,19,34
weir,8/19/2017,1,coho,54,44
weir,8/20/2017,1,coho,90,69
weir,8/21/2017,1,coho,48,73
weir,8/22/2017,1,coho,162,143
weir,8/23/2017,1,coho,270,223
weir,8/24/2017,1,coho,396,476
weir,8/25/2017,1,coho,336,372
weir,8/26/2017,1,coho,1301,1311
weir,8/27/2017,1,coho,695,622
weir,8/28/2017,1,coho,1024,742
weir,8/29/2017,1,coho,1662,1904
weir,8/30/2017,1,coho,4612,4509
weir,8/31/2017,0.83,coho,5308,4769
weir,9/1/2017,0.66,coho,4845,4150
weir,9/2/2017,1,coho,3393,2586
weir,9/3/2017,1,coho,4452,3680
weir,9/4/2017,1,coho,1539,1586
weir,9/5/2017,1,coho,1581,1588
weir,9/6/2017,1,coho,1417,1407
weir,8/10/2017,0.83,chum,6,4
weir,8/11/2017,0.92,chum,6,5
weir,8/12/2017,1,chum,6,5
weir,8/13/2017,0.81,chum,60,25
